time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean
4,18,-1.0,0,2634,0.9996579999999997,4.5
8,48,-1.0,0,2809,0.9990880000000002,6.0
12,69,-1.0,0,2898,0.9986890000000003,5.75
16,102,-1.0,0,2916,0.9980620000000002,6.375
20,123,-1.0,0,2954,0.9976630000000003,6.15
24,142,-1.0,0,2904,0.9973020000000005,5.916666666666667
28,177,-1.0,0,2961,0.9966370000000003,6.321428571428571
32,196,-1.0,0,2904,0.9962760000000005,6.125
36,206,-1.0,0,2890,0.9960860000000004,5.722222222222222
40,221,-1.0,0,2896,0.9958009999999995,5.525
44,259,-1.0,0,2965,0.9950789999999998,5.886363636363637
48,274,-1.0,0,2962,0.9947940000000001,5.708333333333333
52,315,-0.9644807692307692,0,3016,0.9940149999999999,6.0576923076923075
56,329,-0.9670178571428572,0,3009,0.9937489999999995,5.875
60,350,-0.9692166666666666,0,3020,0.9933499999999997,5.833333333333333
64,377,-0.971140625,0,3033,0.9928369999999997,5.890625
68,382,-0.9728382352941175,0,3014,0.9927420000000001,5.617647058823529
72,418,-0.9743472222222221,0,3042,0.9920580000000006,5.805555555555555
76,439,-0.9756973684210525,0,3042,0.9916589999999996,5.776315789473684
80,463,-0.9769124999999999,0,3049,0.9912030000000002,5.7875
84,476,-0.9780119047619047,0,3043,0.9909560000000005,5.666666666666667
88,511,-0.9790113636363635,0,3069,0.9902910000000003,5.806818181818182
92,532,-0.9799239130434781,0,3074,0.9898920000000004,5.782608695652174
96,575,-0.9807604166666666,0,3099,0.9890750000000001,5.989583333333333
100,585,-0.9815299999999999,0,3092,0.988885,5.85
104,614,-0.9815299999999999,0,3095,0.9883339999999999,5.96
108,623,-0.9815299999999999,0,3091,0.9881630000000003,5.75
112,636,-0.9815299999999999,0,3084,0.9879159999999996,5.67
116,657,-0.96207,0,3081,0.9875169999999996,5.55
120,684,-0.96207,0,3091,0.9870039999999997,5.61
124,702,-0.96207,0,3090,0.9866620000000004,5.6
128,723,-0.96207,0,3090,0.9862630000000006,5.46
132,739,-0.96207,0,3086,0.9859590000000003,5.43
136,763,-0.96207,0,3089,0.9855029999999998,5.57
140,776,-0.96207,0,3087,0.985256,5.55
144,784,-0.96207,0,3082,0.9851039999999999,5.25
148,794,-0.96207,0,3075,0.9849139999999997,5.2
152,811,-0.98054,0,3072,0.9845909999999999,4.96
156,828,-0.98054,0,3068,0.9842680000000001,4.99
160,853,-0.98054,0,3072,0.9837930000000001,5.03
164,865,-0.98054,0,3068,0.9835649999999999,4.88
168,880,-0.98054,0,3068,0.9832800000000002,4.98
172,901,-0.98054,0,3070,0.9828810000000003,4.83
176,921,-0.98054,0,3072,0.9825009999999998,4.82
180,933,-0.98054,0,3069,0.9822729999999997,4.7
184,971,-0.98054,0,3080,0.9815510000000001,4.95
188,1003,-0.98054,0,3091,0.9809430000000005,4.92
192,1027,-0.98054,0,3093,0.980487,4.95
196,1039,-0.98054,0,3089,0.9802589999999998,4.64
200,1048,-0.98054,0,3086,0.9800880000000002,4.63
204,1111,-0.98054,0,3110,0.9788910000000005,4.97
208,1137,-0.98054,0,3114,0.9783970000000001,5.14
212,1159,-0.98054,0,3118,0.9779789999999996,5.23
216,1171,-1.0,0,3115,0.9777510000000005,5.14
220,1214,-0.98045,0,3126,0.9769340000000002,5.3
224,1258,-0.98045,0,3134,0.9760980000000004,5.56
228,1279,-0.98045,0,3124,0.9756990000000005,5.56
232,1311,-0.98045,0,3125,0.9750909999999999,5.72
236,1327,-0.98045,0,3126,0.9747869999999996,5.64
240,1346,-0.98045,0,3125,0.9744259999999998,5.7
244,1358,-0.98045,0,3122,0.9741979999999996,5.74
248,1371,-0.98045,0,3119,0.9739509999999998,5.77
252,1400,-0.98045,0,3120,0.9733999999999998,5.89
256,1431,-0.98045,0,3121,0.9728109999999996,6.03
260,1444,-0.98045,0,3119,0.972564,5.91
264,1462,-0.98045,0,3118,0.9722219999999997,5.97
268,1492,-0.98045,0,3123,0.9716520000000002,6.12
272,1510,-0.98045,0,3123,0.9713099999999998,6.09
276,1544,-0.98045,0,3130,0.9706640000000002,6.23
280,1561,-0.98045,0,3130,0.9703410000000005,6.28
284,1571,-0.98045,0,3127,0.9701510000000002,6.0
288,1585,-0.98045,0,3127,0.969885,5.82
292,1614,-0.98045,0,3130,0.9693339999999999,5.87
296,1635,-0.98045,0,3128,0.9689350000000001,5.96
300,1662,-0.98045,0,3131,0.9684220000000001,6.14
304,1682,-0.98045,0,3132,0.9680419999999997,5.71
308,1708,-0.98045,0,3133,0.9675480000000003,5.71
312,1731,-0.98045,0,3133,0.9671110000000004,5.72
316,1744,-0.98045,0,3131,0.9668639999999996,5.73
320,1755,-1.0,0,3129,0.9666549999999998,5.41
324,1782,-1.0,0,3132,0.966142,5.24
328,1793,-1.0,0,3128,0.9659330000000002,5.14
332,1818,-1.0,0,3128,0.9654580000000003,5.07
336,1835,-1.0,0,3127,0.9651350000000005,5.08
340,1855,-1.0,0,3127,0.9647550000000001,5.09
344,1879,-1.0,0,3129,0.9642989999999997,5.21
348,1897,-1.0,0,3126,0.9639570000000004,5.26
352,1931,-1.0,0,3127,0.9633109999999997,5.31
356,1957,-1.0,0,3128,0.9628170000000003,5.26
360,1968,-1.0,0,3126,0.9626079999999995,5.24
364,1998,-1.0,0,3128,0.962038,5.36
368,2030,-1.0,0,3133,0.9614300000000005,5.38
372,2045,-1.0,0,3132,0.9611449999999997,5.35
376,2067,-1.0,0,3134,0.9607270000000003,5.23
380,2085,-1.0,0,3131,0.9603849999999999,5.24
384,2103,-1.0,0,3131,0.9600429999999996,5.32
388,2123,-1.0,0,3131,0.9596630000000003,5.38
392,2138,-1.0,0,3131,0.9593780000000005,5.24
396,2154,-1.0,0,3131,0.9590740000000002,5.19
400,2165,-1.0,0,3129,0.9588650000000005,5.03
404,2185,-1.0,0,3129,0.9584850000000001,5.03
408,2202,-1.0,0,3130,0.9581620000000004,4.94
412,2231,-1.0,0,3130,0.9576110000000003,5.0
416,2257,-1.0,0,3131,0.9571169999999999,5.13
420,2275,-1.0,0,3130,0.9567749999999995,5.2
424,2292,-1.0,0,3125,0.9564519999999996,5.1
428,2306,-1.0,0,3124,0.9561860000000004,5.13
432,2317,-1.0,0,3122,0.9559769999999997,4.99
436,2333,-1.0,0,3123,0.9556730000000005,4.98
440,2349,-1.0,0,3123,0.9553690000000001,4.94
444,2365,-1.0,0,3122,0.9550649999999998,4.86
448,2374,-1.0,0,3119,0.9548940000000002,4.77
452,2392,-1.0,0,3119,0.954552,4.61
456,2415,-1.0,0,3119,0.954115,4.58
460,2433,-1.0,0,3118,0.9537729999999996,4.65
464,2440,-1.0,0,3115,0.95364,4.42
468,2463,-0.9811700000000001,0,3115,0.9532030000000001,4.33
472,2491,-0.9811700000000001,0,3116,0.9526709999999996,4.46
476,2513,-0.9811700000000001,0,3115,0.9522530000000002,4.46
480,2532,-0.9811700000000001,0,3114,0.9518920000000004,4.47
484,2546,-0.9811700000000001,0,3112,0.9516260000000002,4.43
488,2566,-0.9811700000000001,0,3101,0.9512459999999998,4.43
492,2594,-0.9811700000000001,0,3102,0.9507140000000003,4.56
496,2613,-0.9811700000000001,0,3103,0.9503530000000004,4.59
500,2630,-0.9811700000000001,0,3103,0.9500299999999996,4.65
504,2652,-0.9811700000000001,0,3105,0.9496120000000002,4.67
508,2666,-0.9811700000000001,0,3104,0.949346,4.64
512,2707,-0.9811700000000001,0,3109,0.9485669999999997,4.76
516,2730,-0.9811700000000001,0,3109,0.9481299999999998,4.73
520,2743,-0.9811700000000001,0,3108,0.9478830000000001,4.68
524,2770,-0.96252,0,3109,0.94737,4.78
528,2782,-0.96252,0,3108,0.9471419999999999,4.76
532,2797,-0.96252,0,3107,0.9468570000000002,4.8
536,2813,-0.96252,0,3106,0.9465529999999998,4.8
540,2837,-0.96252,0,3108,0.9460970000000004,4.88
544,2879,-0.9625199999999999,0,3114,0.9452989999999997,5.14
548,2901,-0.9625199999999999,0,3115,0.9448810000000003,5.27
